Order ID,Customer ID,Customer Name,Region,Product,Category,Units,Unit Price,Order Date,Total Sales,Sale Value,Customer Type,Total Sales for Karachi,Total Sales For Lahore,Total Electronic Sales For Karachi,Average Sales In Karachi,Average Sales In  Karachi For Accessories,,,,,,,,,,,,,,,,,
ORD001,C001,Ali Khan,Karachi,Laptop,Electronics,2,80000,01-Sep-26,160000,High,individual,422500,178000,360000,60357,20833,,,,,,,,,,,,,,,,,
ORD002,C002,Sara Ahmed,Lahore,Mouse,Accessories,8,2500,02-Sep-26,20000,Low,Bulk ordering,,,,,,,,XLOOKUP Mini Table,,,,,Three Chars of users(Text funcs),,,,,Days Extracted,Days passed b/w Date at I2 and Current date at AE4,,Match & Index,
,,,,,,,,,0,Low,individual,,,,,,,,Value To Look Up,Table To Look From,,,,Al,han,8,Ali Khan,ALI KHAN,1,23/09/2026,22,6,Zain Malik
ORD003,C003,Ahmed Raza,Karachi,Keyboard,Accessories,5,4500,03-Sep-26,22500,Low,Bulk ordering,,,,,,,,C007,C001,Ali Khan,Karachi,,Sa,med,10,Sara Ahmed,SARA AHMED,2,,,,
,,,,,,,,,0,Low,individual,,,,,,,,Retrived Value,C002,Sara Ahmed,Lahore,,Ah,aza,10,Ahmed Raza,AHMED RAZA,0,,,,
ORD004,C004,Hira Shah,Islamabad,Monitor,Electronics,3,30000,04-Sep-26,90000,High,individual,,,,,,,,Hamza Ali,C003,Ahmed Raza,Karachi,,Hi,hah,9,Hira Shah,HIRA SHAH,3,,,,
ORD005,C001,Ali Khan,Karachi,Mouse,Accessories,6,2500,05-Sep-26,15000,Low,Bulk ordering,,,,,,,,,C004,Hira Shah,Islamabad,,Al,han,8,Ali Khan,ALI KHAN,0,,,,
ORD006,C005,Zain Malik,Lahore,Laptop,Electronics,1,80000,06-Sep-26,80000,High,individual,,,,,,,,,C001,Ali Khan,Karachi,,Za,lik,10,Zain Malik,ZAIN MALIK,4,,,,
ORD007,C006,Ayesha Noor,Karachi,Monitor,Electronics,2,30000,07-Sep-26,60000,Medium,individual,,,,,,,,,C005,Zain Malik,Lahore,,Ay,oor,11,Ayesha Noor,AYESHA NOOR,5,,,,
ORD008,C002,Sara Ahmed,Lahore,Keyboard,Accessories,4,4500,08-Sep-26,18000,Low,Bulk ordering,,,,,,,,,C006,Ayesha Noor,Karachi,,Sa,med,10,Sara Ahmed,SARA AHMED,6,,,,
ORD009,C007,Hamza Ali,Islamabad,Laptop,Electronics,2,80000,09-Sep-26,160000,High,individual,,,,,,,,,C002,Sara Ahmed,Lahore,,Ha,Ali,9,Hamza Ali,HAMZA ALI,7,,,,
ORD010,C003,Ahmed Raza,Karachi,Mouse,Accessories,10,2500,10-Sep-26,25000,Low,Bulk ordering,,,,,,,,,C007,Hamza Ali,Islamabad,,,,,,,8,,,,
ORD011,C004,Hira Shah,Islamabad,Keyboard,Accessories,7,4500,11-Sep-26,31500,Medium,Bulk ordering,,,,,,,,,,,,,,,,,,9,,,,
ORD012,C005,Zain Malik,Lahore,Monitor,Electronics,2,30000,12-Sep-26,60000,Medium,individual,,,,,,,,,,,,,,,,,,10,,,,
ORD013,C006,Ayesha Noor,Karachi,Laptop,Electronics,1,80000,13-Sep-26,80000,High,individual,,,,,,,,,,,,,,,,,,11,,,,
ORD014,C007,Hamza Ali,Islamabad,Mouse,Accessories,12,2500,14-Sep-26,30000,Medium,Bulk ordering,,,,,,,,,,,,,,,,,,12,,,,
ORD015,C001,Ali Khan,Karachi,Monitor,Electronics,2,30000,15-Sep-26,60000,Medium,individual,,,,,,,,,,,,,,,,,,13,,,,
